query_id,subject_id,dN,dS,dNdS
lcl|NC_000001.11_cds_NP_115977.2_1929,lcl|NC_000070.6_cds_NP_001034137.2_17983,0.0414,0.5694,0.0727
lcl|NC_000001.11_cds_NP_116037.2_2429,lcl|NT_187023.1_cds_NP_877584.2_78095,0.06881,0.5296,0.1299
lcl|NC_000001.11_cds_NP_116127.3_8209,lcl|NC_000067.6_cds_NP_660123.1_3949,0.1778,0.5205,0.3416
lcl|NC_000001.11_cds_NP_116141.1_11195,lcl|NC_000077.6_cds_XP_006533447.1_47564,0.1214,0.5861,0.2072
lcl|NC_000001.11_cds_NP_116145.1_3484,lcl|NC_000070.6_cds_NP_666368.1_16974,0.1338,0.7232,0.185
lcl|NC_000001.11_cds_NP_116182.2_2942,lcl|NC_000070.6_cds_NP_083938.2_17303,0.08325,0.5151,0.1616
lcl|NC_000001.11_cds_NP_116189.1_10721,lcl|NC_000074.6_cds_NP_780358.3_37927,0.1215,0.6167,0.197
lcl|NC_000001.11_cds_NP_116222.4_9584,lcl|NC_000067.6_cds_NP_598580.1_2985,0.1996,0.5149,0.3877
lcl|NC_000001.11_cds_NP_116247.1_8333,lcl|NC_000067.6_cds_NP_780505.1_3861,0.05097,0.3304,0.1542
lcl|NC_000001.11_cds_NP_116253.2_3941,lcl|NC_000070.6_cds_NP_766285.2_16681,0.005905,0.646,0.00914
lcl|NC_000001.11_cds_NP_116269.3_1292,lcl|NC_000070.6_cds_NP_941012.1_18341,0.03127,0.4874,0.06416
lcl|NC_000001.11_cds_NP_116270.1_2747,lcl|NC_000070.6_cds_XP_006502750.1_17424,0.06517,0.7182,0.09073
lcl|NC_000001.11_cds_NP_116584.2_9791,lcl|NC_000067.6_cds_NP_032577.1_2836,0.01905,0.4732,0.04025
lcl|NC_000001.11_cds_NP_148980.2_5948,lcl|NC_000069.6_cds_NP_001073299.1_13299,0.01886,0.3228,0.05841
lcl|NC_000001.11_cds_NP_149044.2_5353,lcl|NC_000069.6_cds_NP_032272.2_13688,0.001373,0.3368,0.004078
lcl|NC_000001.11_cds_NP_149056.1_4063,lcl|NC_000070.6_cds_NP_063925.1_16617,0.2768,0.7174,0.3859
lcl|NC_000001.11_cds_NP_149079.2_5675,lcl|NC_000069.6_cds_NP_705791.2_13475,0.009001,0.4056,0.02219
lcl|NC_000001.11_cds_NP_149093.1_9706,lcl|NC_000067.6_cds_XP_006529405.1_2888,0.05088,0.3837,0.1326
lcl|NC_000001.11_cds_NP_149118.2_8754,lcl|NC_000067.6_cds_XP_017168473.1_3605,0.158,0.4833,0.327
lcl|NC_000001.11_cds_NP_149122.1_10576,lcl|NC_000077.6_cds_NP_033548.1_47546,0.0213,0.6655,0.032
lcl|NC_000001.11_cds_NP_201569.1_5385,lcl|NC_000069.6_cds_XP_006501482.1_13658,0.06433,0.3925,0.1639
lcl|NC_000001.11_cds_NP_201576.1_8645,lcl|NC_000067.6_cds_NP_001153402.1_3679,0.08583,0.3576,0.24
lcl|NC_000001.11_cds_NP_203129.1_8881,lcl|NC_000067.6_cds_NP_034842.2_3501,0.006583,0.3001,0.02194
lcl|NC_000001.11_cds_NP_254273.2_7908,lcl|NC_000067.6_cds_XP_017168527.1_4091,0.3047,0.5316,0.5732
lcl|NC_000001.11_cds_NP_254275.1_1102,lcl|NC_000070.6_cds_NP_031945.1_18446,0.1864,0.6036,0.3089
lcl|NC_000001.11_cds_NP_277021.2_248,lcl|NC_000070.6_cds_XP_011248481.1_19128,0.01433,0.6555,0.02186
lcl|NC_000001.11_cds_NP_277024.2_255,lcl|NC_000070.6_cds_XP_017175419.1_19131,0.01503,0.6846,0.02195
lcl|NC_000001.11_cds_NP_277039.1_2511,lcl|NT_187023.1_cds_NP_079728.2_78068,0.1444,0.6212,0.2325
lcl|NC_000001.11_cds_NP_291031.2_3121,lcl|NC_000070.6_cds_NP_032216.1_17221,0.22,0.6696,0.3285
lcl|NC_000001.11_cds_NP_426359.1_1617,lcl|NC_000070.6_cds_NP_001230698.1_18164,0,0.1557,0
lcl|NC_000001.11_cds_NP_443073.1_2440,lcl|NT_187023.1_cds_NP_536690.1_78088,0.01082,0.2913,0.03713
lcl|NC_000001.11_cds_NP_443094.3_8360,lcl|NC_000067.6_cds_XP_006496846.1_3837,0.2447,0.8512,0.2875
lcl|NC_000001.11_cds_NP_443163.1_7955,lcl|NC_000067.6_cds_NP_109635.1_4055,0.4268,0.7105,0.6008
lcl|NC_000001.11_cds_NP_443173.2_5023,lcl|NC_000069.6_cds_XP_017175145.1_14178,0.1916,0.5626,0.3405
lcl|NC_000001.11_cds_NP_443174.1_5024,lcl|NC_000069.6_cds_NP_705792.2_14175,0.2261,0.6114,0.3698
lcl|NC_000001.11_cds_NP_443175.2_2009,lcl|NC_000070.6_cds_NP_780516.1_17903,0.04414,0.4852,0.09096
lcl|NC_000001.11_cds_NP_443192.1_795,lcl|NT_166299.2_cds_NP_071303.1_78216,0.05009,0.5047,0.09925
lcl|NC_000001.11_cds_NP_443197.1_9028,lcl|NC_000067.6_cds_NP_079953.2_3388,0.03391,0.4575,0.07412
lcl|NC_000001.11_cds_NP_443198.1_9040,lcl|NC_000067.6_cds_NP_071301.2_3371,0.1582,0.5734,0.2759
lcl|NC_000001.11_cds_NP_444281.1_8322,lcl|NC_000067.6_cds_NP_084521.1_3868,0.02055,0.4699,0.04374
lcl|NC_000001.11_cds_NP_444283.2_6877,lcl|NC_000069.6_cds_NP_083707.1_12820,0.18,0.4821,0.3735
lcl|NC_000001.11_cds_NP_444512.2_8244,lcl|NC_000067.6_cds_NP_036139.3_3932,0.218,0.3521,0.6192
lcl|NC_000001.11_cds_NP_473357.1_1746,lcl|NC_000070.6_cds_NP_001073856.1_18077,0,0.2594,0
lcl|NC_000001.11_cds_NP_476432.2_3321,lcl|NC_000070.6_cds_XP_011238721.1_17077,0.1416,0.4656,0.304
lcl|NC_000001.11_cds_NP_476517.1_4142,lcl|NC_000070.6_cds_NP_536706.2_16518,0.1662,0.7238,0.2296
lcl|NC_000001.11_cds_NP_477518.2_5426,lcl|NC_000069.6_cds_NP_703188.1_13635,0.007576,0.471,0.01608
lcl|NC_000001.11_cds_NP_523240.1_3844,lcl|NC_000070.6_cds_NP_031697.1_16747,0.03877,0.2448,0.1583
lcl|NC_000001.11_cds_NP_525127.1_6972,lcl|NC_000069.6_cds_XP_006502015.1_12710,0.06804,0.4772,0.1426
lcl|NC_000001.11_cds_NP_536316.1_2366,lcl|NT_187023.1_cds_NP_033000.1_78107,0,0.1828,0
lcl|NC_000001.11_cds_NP_536356.3_432,lcl|NC_000070.6_cds_NP_082789.1_19019,0.1123,0.7368,0.1524
lcl|NC_000001.11_cds_NP_542155.1_9412,lcl|NC_000067.6_cds_XP_006529761.1_3123,0.04541,0.385,0.1179
lcl|NC_000001.11_cds_NP_542172.2_102,lcl|NC_000070.6_cds_NP_536693.1_19218,0.0901,0.6222,0.1448
lcl|NC_000001.11_cds_NP_542196.2_5431,lcl|NC_000069.6_cds_XP_006501032.1_13631,0.03273,0.4529,0.07228
lcl|NC_000001.11_cds_NP_542776.1_10874,lcl|NC_000079.6_cds_NP_598398.3_54605,0.12,0.4954,0.2422
lcl|NC_000001.11_cds_NP_543144.1_4690,lcl|NC_000069.6_cds_NP_080034.2_14460,0.06773,0.5643,0.12
lcl|NC_000001.11_cds_NP_543151.2_225,lcl|NC_000070.6_cds_XP_006539315.1_19151,0.03994,0.6114,0.06533
lcl|NC_000001.11_cds_NP_563578.2_9268,lcl|NC_000067.6_cds_NP_035340.3_3233,0.1964,0.701,0.2801
lcl|NC_000001.11_cds_NP_569707.2_3266,lcl|NC_000070.6_cds_NP_035343.2_17099,0.02244,0.4617,0.04861
lcl|NC_000001.11_cds_NP_570138.1_9109,lcl|NC_000067.6_cds_NP_075019.1_3327,0.07904,0.4093,0.1931
lcl|NC_000001.11_cds_NP_573439.2_2265,lcl|NC_000070.6_cds_NP_035344.2_17757,0.02371,0.4675,0.05073
lcl|NC_000001.11_cds_NP_573444.2_5654,lcl|NC_000069.6_cds_XP_006502527.2_13485,0.1627,0.4929,0.3301
lcl|NC_000001.11_cds_NP_597724.1_3052,lcl|NC_000070.6_cds_NP_062509.1_17248,0.1265,0.407,0.3108
lcl|NC_000001.11_cds_NP_598001.1_9254,lcl|NC_000067.6_cds_NP_067618.1_3242,0.0102,0.3712,0.02748
lcl|NC_000001.11_cds_NP_599152.2_9727,lcl|NC_000067.6_cds_XP_006529763.1_2873,0.05881,0.4766,0.1234
lcl|NC_000001.11_cds_NP_612122.2_6680,lcl|NC_000069.6_cds_NP_599014.2_12956,0.0881,0.5235,0.1683
lcl|NC_000001.11_cds_NP_612157.1_7171,lcl|NC_000069.6_cds_NP_001280697.1_12541,0.01561,0.4422,0.0353
lcl|NC_000001.11_cds_NP_612355.1_938,lcl|NT_166299.2_cds_NP_084117.2_78165,0.04281,0.4047,0.1058
lcl|NC_000001.11_cds_NP_612426.1_3919,lcl|NC_000070.6_cds_NP_083847.1_16702,0.1404,0.7345,0.1911
lcl|NC_000001.11_cds_NP_619642.2_586,lcl|NC_000070.6_cds_NP_114073.1_18878,0.1596,0.5077,0.3144
lcl|NC_000001.11_cds_NP_620057.1_5844,lcl|NC_000069.6_cds_NP_694731.1_13369,0.04598,0.3343,0.1375
lcl|NC_000001.11_cds_NP_620149.2_10230,lcl|NC_000067.6_cds_NP_666218.2_4521,0.1389,0.537,0.2586
lcl|NC_000001.11_cds_NP_620150.1_9404,lcl|NC_000067.6_cds_NP_081099.1_3124,0.002117,0.3841,0.005511
lcl|NC_000001.11_cds_NP_620409.1_5990,lcl|NC_000069.6_cds_NP_808213.2_13247,0.02186,0.4916,0.04447
lcl|NC_000001.11_cds_NP_631895.1_5629,lcl|NC_000069.6_cds_NP_083055.1_13508,0.01413,0.405,0.03489
lcl|NC_000001.11_cds_NP_631947.1_843,lcl|NC_000070.6_cds_NP_034897.1_18682,0.1235,0.5439,0.2271
lcl|NC_000001.11_cds_NP_640333.3_8584,lcl|NC_000067.6_cds_NP_001191833.1_3703,0.2839,0.653,0.4347
lcl|NC_000001.11_cds_NP_653168.2_10074,lcl|NC_000067.6_cds_NP_067396.3_4600,0.08037,0.5177,0.1552
lcl|NC_000001.11_cds_NP_653174.3_4760,lcl|NC_000069.6_cds_XP_011238517.1_14423,0.05104,0.4252,0.12
lcl|NC_000001.11_cds_NP_653181.1_7552,lcl|NC_000069.6_cds_NP_064387.1_12348,0.135,0.5079,0.2659
lcl|NC_000001.11_cds_NP_653221.1_5365,lcl|NC_000069.6_cds_NP_780622.1_13669,0.07543,0.4055,0.186
lcl|NC_000001.11_cds_NP_653223.2_7208,lcl|NC_000069.6_cds_XP_006502566.1_12522,0.1728,0.6059,0.2851
lcl|NC_000001.11_cds_NP_653225.2_8247,lcl|NC_000067.6_cds_XP_006496745.1_3930,0.005105,0.3339,0.01529
lcl|NC_000001.11_cds_NP_653228.1_7559,lcl|NC_000069.6_cds_XP_006502326.1_12346,0.2111,0.462,0.457
lcl|NC_000001.11_cds_NP_653297.3_8809,lcl|NC_000067.6_cds_XP_017168646.1_3548,0.2125,0.5334,0.3985
lcl|NC_000001.11_cds_NP_653298.1_6546,lcl|NC_000069.6_cds_XP_006501438.1_13033,0.119,0.5816,0.2046
lcl|NC_000001.11_cds_NP_653299.4_6245,lcl|NC_000069.6_cds_XP_006501317.1_13105,0.1017,0.4695,0.2166
lcl|NC_000001.11_cds_NP_653300.2_7927,lcl|NC_000067.6_cds_NP_038762.1_4082,0.09468,0.6112,0.1549
lcl|NC_000001.11_cds_NP_653303.2_7701,lcl|NC_000069.6_cds_XP_006502270.1_12276,0.1123,0.5189,0.2163
lcl|NC_000001.11_cds_NP_658912.1_9113,lcl|NC_000067.6_cds_XP_006529676.1_3324,0.08503,0.4658,0.1826
lcl|NC_000001.11_cds_NP_658985.2_7618,lcl|NC_000069.6_cds_NP_659146.1_12327,0.05764,0.5196,0.1109
lcl|NC_000001.11_cds_NP_659425.1_5281,lcl|NC_000069.6_cds_NP_077140.1_13729,0.1343,0.5385,0.2494
lcl|NC_000001.11_cds_NP_659471.1_8862,lcl|NC_000067.6_cds_XP_017176041.1_3522,0.1891,0.5514,0.3429
lcl|NC_000001.11_cds_NP_659484.4_2748,lcl|NC_000070.6_cds_NP_766289.2_17418,0.0769,0.4767,0.1613
lcl|NC_000001.11_cds_NP_660150.1_7910,lcl|NC_000067.6_cds_NP_080510.1_4090,0.05495,0.5452,0.1008
lcl|NC_000001.11_cds_NP_660155.2_4910,lcl|NC_000069.6_cds_NP_766452.2_14274,0.1008,0.823,0.1225
lcl|NC_000001.11_cds_NP_660206.2_2586,lcl|NC_000070.6_cds_NP_081312.2_17531,0.1616,0.9256,0.1746
lcl|NC_000001.11_cds_NP_660215.1_10659,lcl|NC_000077.6_cds_NP_444398.1_47516,0.05316,0.6049,0.08789
lcl|NC_000001.11_cds_NP_660286.1_4183,lcl|NC_000070.6_cds_XP_006503363.1_16470,0.174,0.7234,0.2405
lcl|NC_000001.11_cds_NP_660300.3_10681,lcl|NC_000074.6_cds_NP_082812.1_37907,0.1626,0.6662,0.2441
lcl|NC_000001.11_cds_NP_663768.1_4116,lcl|NC_000070.6_cds_NP_076161.2_16552,0,0.1941,0
lcl|NC_000001.11_cds_NP_671517.1_4121,lcl|NC_000070.6_cds_NP_079866.2_16547,0.05809,0.4645,0.1251
lcl|NC_000001.11_cds_NP_671725.1_3651,lcl|NC_000070.6_cds_XP_017175446.1_16894,0.02736,0.5277,0.05185
lcl|NC_000001.11_cds_NP_683705.1_3889,lcl|NC_000070.6_cds_NP_001128263.1_16715,0.0146,0.3679,0.03969
lcl|NC_000001.11_cds_NP_683706.3_3884,lcl|NC_000070.6_cds_NP_598646.4_16708,0.01185,0.3566,0.03322
lcl|NC_000001.11_cds_NP_683707.3_3880,lcl|NC_000070.6_cds_XP_006502681.2_16710,0.01148,0.3422,0.03354
lcl|NC_000001.11_cds_NP_683763.2_3165,lcl|NC_000070.6_cds_NP_001033679.1_17189,0.02126,0.4799,0.0443
lcl|NC_000001.11_cds_NP_689414.1_151,lcl|NC_000070.6_cds_NP_114078.1_19197,0.1954,0.7681,0.2544
lcl|NC_000001.11_cds_NP_689418.2_1301,lcl|NC_000070.6_cds_NP_114079.1_18334,0.1993,0.5325,0.3743
lcl|NC_000001.11_cds_NP_689476.2_7065,lcl|NC_000069.6_cds_NP_001280677.2_12627,0.004849,0.2836,0.0171
lcl|NC_000001.11_cds_NP_689478.1_3920,lcl|NC_000070.6_cds_XP_011238914.1_16700,0,0.2649,0
lcl|NC_000001.11_cds_NP_689481.2_4128,lcl|NC_000070.6_cds_NP_758476.2_16530,0.1097,0.4976,0.2204
lcl|NC_000001.11_cds_NP_689493.3_7438,lcl|NC_000069.6_cds_XP_006501411.1_12424,0.02332,0.4173,0.05588
lcl|NC_000001.11_cds_NP_689494.2_8492,lcl|NC_000067.6_cds_NP_849214.2_3759,0.1536,0.5463,0.2812
lcl|NC_000001.11_cds_NP_689503.3_975,lcl|NC_000070.6_cds_NP_081332.1_18533,0.1499,0.6668,0.2247
lcl|NC_000001.11_cds_NP_689511.2_3555,lcl|NC_000070.6_cds_NP_001074944.1_16946,0.03902,0.3461,0.1127
lcl|NC_000001.11_cds_NP_689579.3_8037,lcl|NC_000067.6_cds_NP_001028211.1_4016,0.08916,0.5752,0.155
lcl|NC_000001.11_cds_NP_689585.3_1750,lcl|NC_000070.6_cds_NP_001078978.1_18070,0.09342,0.5464,0.171
lcl|NC_000001.11_cds_NP_689587.1_2673,lcl|NC_000070.6_cds_NP_001139422.1_17482,0.09385,0.5443,0.1724
lcl|NC_000001.11_cds_NP_689588.2_1297,lcl|NC_000070.6_cds_NP_775603.2_18339,0.1974,0.599,0.3295
lcl|NC_000001.11_cds_NP_689590.1_4244,lcl|NC_000070.6_cds_XP_006503324.1_16309,0.2283,0.5305,0.4304
lcl|NC_000001.11_cds_NP_689698.1_9903,lcl|NC_000067.6_cds_XP_006497316.1_4697,0.1182,0.4858,0.2434
lcl|NC_000001.11_cds_NP_689699.2_16,lcl|NC_000070.6_cds_XP_006538909.1_19257,0.1803,0.7155,0.252
lcl|NC_000001.11_cds_NP_689700.1_5286,lcl|NC_000069.6_cds_XP_011238642.1_13726,0.1385,0.6115,0.2266
lcl|NC_000001.11_cds_NP_689704.4_9725,lcl|NC_000067.6_cds_XP_006529401.1_2878,0.1637,0.4676,0.3502
lcl|NC_000001.11_cds_NP_689705.2_472,lcl|NC_000070.6_cds_NP_001028627.1_18989,0.3565,0.8362,0.4263
lcl|NC_000001.11_cds_NP_689707.2_7211,lcl|NC_000069.6_cds_NP_084250.1_12514,0.1841,0.5504,0.3344
lcl|NC_000001.11_cds_NP_689708.1_10423,lcl|NC_000067.6_cds_NP_001153683.1_4417,0,0.4639,0
lcl|NC_000001.11_cds_NP_689712.1_3362,lcl|NC_000070.6_cds_NP_001030048.1_17057,0.2585,0.5381,0.4805
lcl|NC_000001.11_cds_NP_689821.3_10501,lcl|NC_000067.6_cds_NP_666055.1_4392,0.192,0.6197,0.3098
lcl|NC_000001.11_cds_NP_689823.2_10372,lcl|NC_000067.6_cds_NP_001028719.1_4452,0.287,0.7056,0.4067
lcl|NC_000001.11_cds_NP_689873.1_2066,lcl|NC_000070.6_cds_NP_663528.1_17865,0.008024,0.3983,0.02015
lcl|NC_000001.11_cds_NP_689976.2_5511,lcl|NC_000069.6_cds_XP_006501673.1_13584,0.3402,0.6998,0.4861
lcl|NC_000001.11_cds_NP_690850.2_4938,lcl|NC_000069.6_cds_XP_011238534.1_14254,0.1284,0.4337,0.2961
lcl|NC_000001.11_cds_NP_690866.1_8420,lcl|NC_000067.6_cds_NP_663488.1_3808,0.01636,0.3997,0.04092
lcl|NC_000001.11_cds_NP_694541.2_4692,lcl|NC_000069.6_cds_NP_035502.1_14454,0.08277,0.6407,0.1292
lcl|NC_000001.11_cds_NP_694580.1_4104,lcl|NC_000070.6_cds_XP_006503337.1_16587,0.04835,0.3678,0.1315
lcl|NC_000001.11_cds_NP_694991.2_4896,lcl|NC_000069.6_cds_NP_080932.2_14284,0.11,0.6279,0.1752
lcl|NC_000001.11_cds_NP_694994.2_9912,lcl|NC_000067.6_cds_NP_853524.1_4676,0.03249,0.4358,0.07455
lcl|NC_000001.11_cds_NP_697021.1_3548,lcl|NC_000070.6_cds_NP_067448.1_16948,0.03459,0.4649,0.07439
lcl|NC_000001.11_cds_NP_699170.1_134,lcl|NC_000070.6_cds_NP_001028662.1_19204,0.1166,0.6073,0.192
lcl|NC_000001.11_cds_NP_699171.3_5600,lcl|NC_000069.6_cds_XP_006502200.1_13531,0.05268,0.2838,0.1856
lcl|NC_000001.11_cds_NP_705834.2_10035,lcl|NC_000067.6_cds_NP_001103229.1_4626,0.3379,0.6697,0.5046
lcl|NC_000001.11_cds_NP_705935.1_7058,lcl|NC_000069.6_cds_NP_001240667.1_12628,0.001903,0.3229,0.005894
lcl|NC_000001.11_cds_NP_714924.1_6263,lcl|NC_000069.6_cds_NP_001156642.1_13097,0.01988,0.3695,0.0538
lcl|NC_000001.11_cds_NP_714969.1_8588,lcl|NC_000067.6_cds_XP_006497022.1_3706,0.03266,0.5941,0.05497
lcl|NC_000001.11_cds_NP_715637.2_2503,lcl|NT_187023.1_cds_NP_081678.1_78075,0.006389,0.4673,0.01367
lcl|NC_000001.11_cds_NP_722519.2_602,lcl|NC_000070.6_cds_NP_766293.2_18869,0.0331,0.4924,0.06723
lcl|NC_000001.11_cds_NP_733793.2_8760,lcl|NC_000067.6_cds_XP_006496815.1_3594,0.01461,0.2712,0.05388
lcl|NC_000001.11_cds_NP_733821.1_7481,lcl|NC_000069.6_cds_XP_006501136.1_12391,0.01475,0.4149,0.03554
lcl|NC_000001.11_cds_NP_733844.1_1304,lcl|NC_000070.6_cds_NP_780647.3_18332,0.04219,0.5349,0.07887
lcl|NC_000001.11_cds_NP_734464.1_1754,lcl|NC_000070.6_cds_NP_777276.3_18068,0.2601,0.6225,0.4178
lcl|NC_000001.11_cds_NP_741997.3_8922,lcl|NC_000067.6_cds_NP_839975.2_3458,0.2039,0.3854,0.529
lcl|NC_000001.11_cds_NP_742068.1_8665,lcl|NC_000067.6_cds_NP_001020123.1_3660,0.03291,0.3297,0.0998
lcl|NC_000001.11_cds_NP_751895.1_3050,lcl|NC_000070.6_cds_XP_006503318.1_17250,0.01589,0.3328,0.04773
lcl|NC_000001.11_cds_NP_757350.1_5667,lcl|NC_000069.6_cds_NP_001107001.1_13481,0.1367,0.332,0.4116
lcl|NC_000001.11_cds_NP_757351.1_5665,lcl|NC_000069.6_cds_NP_031804.3_13482,0.1841,0.3439,0.5353
lcl|NC_000001.11_cds_NP_758860.1_9860,lcl|NC_000067.6_cds_NP_034908.1_4715,0.4131,0.8126,0.5084
lcl|NC_000001.11_cds_NP_758872.1_9958,lcl|NC_000067.6_cds_NP_034730.1_4664,0.01647,0.5139,0.03204
lcl|NC_000001.11_cds_NP_758957.2_1641,lcl|NC_000070.6_cds_XP_017175416.1_18154,0.1543,0.6658,0.2318
lcl|NC_000001.11_cds_NP_775106.2_10511,lcl|NC_000067.6_cds_NP_001096652.2_4385,0.01437,0.4402,0.03264
lcl|NC_000001.11_cds_NP_775179.1_8973,lcl|NC_000067.6_cds_NP_001005507.1_3402,0.02393,0.1977,0.121
lcl|NC_000001.11_cds_NP_775755.3_3387,lcl|NC_000070.6_cds_NP_083692.2_17054,0.4013,0.6804,0.5898
lcl|NC_000001.11_cds_NP_775779.1_10812,lcl|NC_000074.6_cds_XP_011246635.1_37979,0.04406,0.4648,0.09479
lcl|NC_000001.11_cds_NP_775838.3_5124,lcl|NC_000071.6_cds_NP_001001804.2_21697,0.0613,0.462,0.1327
lcl|NC_000001.11_cds_NP_775912.2_2819,lcl|NC_000070.6_cds_NP_808339.2_17372,0.03224,0.4182,0.0771
lcl|NC_000001.11_cds_NP_775913.2_3133,lcl|NC_000070.6_cds_NP_808240.2_17214,0.0593,0.4917,0.1206
lcl|NC_000001.11_cds_NP_776169.2_4620,lcl|NC_000069.6_cds_NP_001034183.1_14500,0.02601,0.4926,0.05279
lcl|NC_000001.11_cds_NP_776251.1_7243,lcl|NC_000069.6_cds_NP_079603.1_12498,0.01783,0.5137,0.0347
lcl|NC_000001.11_cds_NP_777283.1_4709,lcl|NC_000069.6_cds_NP_001074746.1_14445,0.04447,0.5658,0.07859
lcl|NC_000001.11_cds_NP_777596.2_4143,lcl|NC_000070.6_cds_NP_705793.1_16517,0.1454,0.4989,0.2915
lcl|NC_000001.11_cds_NP_777629.1_3288,lcl|NC_000070.6_cds_XP_006502961.1_17081,0.008112,0.3169,0.0256
lcl|NC_000001.11_cds_NP_778235.1_6477,lcl|NC_000069.6_cds_NP_835585.3_13075,0.006502,0.7549,0.008614
lcl|NC_000001.11_cds_NP_786886.1_5861,lcl|NC_000069.6_cds_NP_031510.2_13360,0,0.3839,0
lcl|NC_000001.11_cds_NP_787062.1_8246,lcl|NC_000067.6_cds_NP_034763.3_3929,0.003002,0.3196,0.009391
lcl|NC_000001.11_cds_NP_787072.2_10756,lcl|NC_000074.6_cds_NP_932771.1_37948,0.03078,0.9245,0.0333
lcl|NC_000001.11_cds_NP_788954.2_4122,lcl|NC_000070.6_cds_NP_666261.1_16545,0.1794,0.5561,0.3225
lcl|NC_000001.11_cds_NP_795352.2_4268,lcl|NC_000070.6_cds_XP_006502767.1_16326,0.1081,0.5811,0.186
lcl|NC_000001.11_cds_NP_796372.1_8293,lcl|NC_000067.6_cds_XP_017177173.1_3897,0.01316,0.3931,0.03346
lcl|NC_000001.11_cds_NP_796377.3_9733,lcl|NC_000067.6_cds_XP_006529493.1_2869,0.05716,0.6093,0.09381
lcl|NC_000001.11_cds_NP_803173.1_2070,lcl|NC_000070.6_cds_NP_598648.1_17863,0.03683,0.3472,0.1061
lcl|NC_000001.11_cds_NP_828847.1_3707,lcl|NC_000070.6_cds_NP_001003947.1_16851,0.1712,0.3858,0.4437
lcl|NC_000001.11_cds_NP_839943.2_7604,lcl|NC_000069.6_cds_NP_001028656.1_12331,0.08596,0.4362,0.1971
lcl|NC_000001.11_cds_NP_848514.1_6616,lcl|NC_000069.6_cds_NP_033839.2_12977,0.04042,0.3485,0.116
lcl|NC_000001.11_cds_NP_848640.1_302,lcl|NC_000070.6_cds_NP_001240785.1_19112,0.1732,0.4785,0.3619
lcl|NC_000001.11_cds_NP_848642.1_2452,lcl|NT_187023.1_cds_NP_080246.1_78084,0.01992,0.4914,0.04054
lcl|NC_000001.11_cds_NP_848643.2_2667,lcl|NC_000070.6_cds_NP_945198.2_17485,0.03279,0.4718,0.06949
lcl|NC_000001.11_cds_NP_848645.3_8268,lcl|NC_000067.6_cds_XP_006497100.1_3913,0.3115,0.5339,0.5835
lcl|NC_000001.11_cds_NP_849162.1_1160,lcl|NC_000070.6_cds_NP_001028546.1_18418,0.3778,0.7147,0.5286
lcl|NC_000001.11_cds_NP_849196.2_2296,lcl|NT_187023.1_cds_NP_766290.2_78122,0.0799,0.5172,0.1545
lcl|NC_000001.11_cds_NP_857594.2_5779,lcl|NC_000069.6_cds_NP_001186957.1_13404,0.1998,0.4634,0.4311
lcl|NC_000001.11_cds_NP_857595.3_9702,lcl|NC_000067.6_cds_NP_001108134.1_2901,0.071,0.379,0.1874
lcl|NC_000001.11_cds_NP_859048.1_3546,lcl|NC_000070.6_cds_NP_035164.1_16949,0.02793,0.3402,0.08208
lcl|NC_000001.11_cds_NP_859066.1_7018,lcl|NC_000069.6_cds_NP_083157.1_12668,0.03933,0.2832,0.1389
lcl|NC_000001.11_cds_NP_861420.1_9889,lcl|NC_000067.6_cds_NP_032314.2_4702,0.1319,0.6514,0.2025
lcl|NC_000001.11_cds_NP_861525.2_2897,lcl|NC_000070.6_cds_NP_031584.1_17327,0.07434,0.406,0.1831
lcl|NC_000001.11_cds_NP_863654.1_551,lcl|NC_000070.6_cds_NP_001139529.1_18911,0.06255,0.5173,0.1209
lcl|NC_000001.11_cds_NP_863655.1_552,lcl|NC_000070.6_cds_NP_001139530.1_18912,0.03774,0.5076,0.07436
lcl|NC_000001.11_cds_NP_871001.1_7444,lcl|NC_000069.6_cds_NP_861538.1_12414,0.1379,0.5606,0.246
lcl|NC_000001.11_cds_NP_872339.2_348,lcl|NC_000070.6_cds_NP_001177374.1_19087,0.3462,0.9343,0.3705
lcl|NC_000001.11_cds_NP_872384.1_6876,lcl|NC_000069.6_cds_NP_079692.1_12823,0.1194,0.4153,0.2876
lcl|NC_000001.11_cds_NP_872386.1_5614,lcl|NC_000069.6_cds_NP_001074789.2_13528,0.05074,0.2625,0.1933
lcl|NC_000001.11_cds_NP_872429.2_1174,lcl|NC_000070.6_cds_NP_001078982.1_18409,0.1103,0.5771,0.1911
lcl|NC_000001.11_cds_NP_872604.1_9775,lcl|NC_000067.6_cds_NP_061220.2_2849,0.07721,0.4349,0.1776
lcl|NC_000001.11_cds_NP_872606.1_9777,lcl|NC_000067.6_cds_NP_001298023.1_2850,0.02952,0.4497,0.06565
lcl|NC_000001.11_cds_NP_872620.1_7621,lcl|NC_000069.6_cds_NP_079939.3_12324,0.2201,0.5334,0.4127
lcl|NC_000001.11_cds_NP_877429.2_454,lcl|NC_000070.6_cds_NP_080664.1_18998,0.03905,0.4527,0.08627
lcl|NC_000001.11_cds_NP_877495.1_6595,lcl|NC_000069.6_cds_XP_006501151.1_12998,0.1475,0.7247,0.2035
lcl|NC_000001.11_cds_NP_891993.1_4828,lcl|NC_000069.6_cds_NP_001157672.1_14327,0.04087,0.7017,0.05825
